facility_name,state,avg_ratio,conditions_tracked
OROVILLE HOSPITAL,CA,1.2484,5
WINCHESTER HOSPITAL,MA,1.2212,5
ST LUCIE MEDICAL CENTER,FL,1.2014,5
"NEW YORK COMMUNITY HOSPITAL OF BROOKLYN, INC.",NY,1.1778,3
ALLIANCEHEALTH DURANT,OK,1.1735,5
BROWN UNIVERSITY HEALTH MORTON HOSPITAL,MA,1.1715,5
GREAT PLAINS REGIONAL MEDICAL CENTER,OK,1.165,3
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,1.1635,3
STURDY MEMORIAL HOSPITAL,MA,1.1569,4
HOLY FAMILY HOSPITAL,MA,1.1552,5
JEFFERSON STRATFORD HOSPITAL,NJ,1.1551,5
GOOD SAMARITAN MEDICAL CENTER,FL,1.1538,5
UNIVERSITY OF ALABAMA HOSPITAL,AL,1.1516,6
MELROSEWAKEFIELD HEALTHCARE,MA,1.1506,5
CENTINELA HOSPITAL MEDICAL CENTER,CA,1.1441,4
CARLE BROMENN MEDICAL CENTER,IL,1.144,6
ADVENTHEALTH ORLANDO,FL,1.1426,6
TUFTS MEDICAL CENTER,MA,1.1393,6
MCLAREN BAY REGION,MI,1.1384,6
FAIRFIELD MEDICAL CENTER,OH,1.1378,6
HCA FLORIDA NORTHSIDE HOSPITAL,FL,1.136,6
ST JOE MERCY HOSPITAL SYSTEM LIVONIA,MI,1.1346,5
HCA FLORIDA TRINITY HOSPITAL,FL,1.1332,5
SSM HEALTH ST ANTHONY HOSPITAL - MIDWEST,OK,1.1295,5
UPMC ST MARGARET,PA,1.129,4
DESERT VALLEY HOSPITAL,CA,1.1283,5
REGIONAL MEDICAL CENTER OF SAN JOSE,CA,1.1279,5
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,NJ,1.1265,6
ST MARY'S HOSPITAL,GA,1.1239,5
GUADALUPE REGIONAL MEDICAL CENTER,TX,1.1233,5
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,IL,1.1201,6
SAINT FRANCIS HOSPITAL MUSKOGEE,OK,1.1196,5
HERRIN HOSPITAL,IL,1.1195,4
MERCY HOSPITAL ST LOUIS,MO,1.1158,6
SAINT JOSEPH EAST,KY,1.1157,4
CAPE COD HOSPITAL,MA,1.1155,6
ST ROSE HOSPITAL,CA,1.1155,5
BROWARD HEALTH NORTH,FL,1.115,5
THOMAS JEFFERSON UNIVERSITY HOSPITAL,PA,1.1138,6
COMMUNITY MEDICAL CENTER,NJ,1.1122,5
HCA FLORIDA OAK HILL HOSPITAL,FL,1.112,6
MERCY MEDICAL CENTER INC,MD,1.1106,4
JEFFERSON HEALTH- NORTHEAST,PA,1.1096,6
ANNA JAQUES HOSPITAL,MA,1.1093,4
SAINT ANTHONY MEDICAL CENTER,IL,1.1091,6
SOUTH BROOKLYN HEALTH,NY,1.1079,4
ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,CA,1.1078,5
ST MARY MEDICAL CENTER,PA,1.107,6
UNIVERSITY MEDICAL CENTER OF PRINCETON AT PLAINSBORO,NJ,1.1067,5
BAYSTATE MEDICAL CENTER,MA,1.1066,6
ECU HEALTH MEDICAL CENTER,NC,1.1065,6
SAVANNAH HEALTH SERVICES LLC DBA MEMORIAL HEALTH UNIVERSITY MEDICAL CENTER,GA,1.1055,6
PARK NICOLLET METHODIST HOSPITAL,MN,1.1031,6
MONROE COUNTY MEDICAL CENTER,KY,1.1027,3
UCI HEALTH - LOS ALAMITOS,CA,1.1017,5
MONMOUTH MEDICAL CENTER-SOUTHERN CAMPUS,NJ,1.1016,3
