state,avg_excess_ratio,num_hospitals
MA,1.0344,52
NJ,1.0277,61
FL,1.0229,164
IL,1.0194,109
MS,1.0141,50
AL,1.0139,67
WV,1.0115,22
NV,1.0114,19
GA,1.0114,88
KY,1.0101,59
CA,1.0101,253
OH,1.0085,111
LA,1.008,67
PA,1.0069,126
SC,1.0067,51
TN,1.0054,71
MI,1.0054,83
TX,1.0043,244
NY,1.0019,124
MO,1.0011,63
AZ,1.0009,57
AR,1.0003,40
OK,0.998,64
IN,0.9976,76
CT,0.9967,25
NH,0.9954,13
VA,0.9943,69
NC,0.9937,77
DC,0.9921,6
RI,0.9892,9
VT,0.988,6
AK,0.9871,8
MD,0.9859,41
WY,0.9854,8
NM,0.9839,23
HI,0.9837,11
WI,0.982,63
NE,0.9787,22
DE,0.9787,6
MN,0.9778,44
IA,0.9716,29
CO,0.9674,45
KS,0.9662,42
SD,0.965,15
WA,0.9636,45
OR,0.9599,32
UT,0.9559,29
MT,0.9541,10
ME,0.9515,13
ND,0.9466,7
ID,0.9432,14
